ID,Score,Real_Class
50333242,0.69159,Active
decoy_31,0.56787,Inactive
decoy_51,0.50653,Inactive
decoy_02,0.49345,Inactive
decoy_28,0.48079,Inactive
decoy_36,0.44816,Inactive
decoy_24,0.44626,Inactive
decoy_17,0.44571,Inactive
decoy_12,0.43843,Inactive
decoy_07,0.43354,Inactive
decoy_18,0.4235,Inactive
decoy_21,0.42179,Inactive
decoy_34,0.41822,Inactive
decoy_32,0.40045,Inactive
decoy_11,0.3406,Inactive
decoy_49,0.31884,Inactive
decoy_08,0.28997,Inactive
decoy_22,0.24533,Inactive
decoy_14,0.23567,Inactive
decoy_27,0.21694,Inactive
decoy_25,0.15993,Inactive
decoy_01,0.14829,Inactive
decoy_33,0.14462,Inactive
decoy_29,0.1173,Inactive
decoy_52,0.05405,Inactive
decoy_35,0.04114,Inactive
decoy_19,0.03931,Inactive
decoy_39,0.03922,Inactive
decoy_48,0.03884,Inactive
decoy_03,0.03563,Inactive
51028037,0.03332,Active
decoy_37,0.0319,Inactive
decoy_04,0.03117,Inactive
decoy_45,0.0302,Inactive
decoy_20,0.02209,Inactive
decoy_40,0.01941,Inactive
decoy_42,0.01904,Inactive
decoy_23,0.01624,Inactive
decoy_44,0.01177,Inactive
decoy_26,0.01093,Inactive
decoy_16,0.01031,Inactive
decoy_13,0.00979,Inactive
decoy_47,0.00724,Inactive
decoy_15,0.00697,Inactive
decoy_30,0.00694,Inactive
decoy_50,0.0051,Inactive
decoy_06,0.00507,Inactive
decoy_46,0.00494,Inactive
decoy_05,0.00459,Inactive
decoy_43,0.00446,Inactive
decoy_09,0.00311,Inactive
decoy_10,0.00205,Inactive
decoy_38,0.0005,Inactive
decoy_41,0.00027,Inactive
