ID,Score,Real_Class
decoy_50,6.232614468,Inactive
decoy_45,6.220320989,Inactive
decoy_41,6.20886473,Inactive
decoy_13,6.204685998,Inactive
decoy_52,6.184472328,Inactive
decoy_46,6.183895209,Inactive
decoy_37,6.147723496,Inactive
decoy_15,6.145527937,Inactive
decoy_05,6.136527088,Inactive
decoy_39,6.12347615,Inactive
decoy_38,6.118901336,Inactive
decoy_47,6.113678083,Inactive
decoy_03,6.098195291,Inactive
decoy_29,6.092115337,Inactive
decoy_43,6.090336237,Inactive
decoy_20,6.081954094,Inactive
decoy_04,6.076034198,Inactive
decoy_42,6.074017659,Inactive
decoy_23,6.073588968,Inactive
decoy_09,6.072775508,Inactive
decoy_33,6.059283509,Inactive
decoy_25,6.053685135,Inactive
decoy_16,6.053628888,Inactive
decoy_06,6.052263358,Inactive
decoy_30,6.049305323,Inactive
decoy_24,6.041211681,Inactive
decoy_19,6.039112384,Inactive
51028037,6.037074794,Active
decoy_26,6.035181351,Inactive
decoy_44,6.035078906,Inactive
decoy_10,6.03419532,Inactive
decoy_14,6.033360117,Inactive
decoy_35,6.03066232,Inactive
decoy_17,6.027565328,Inactive
decoy_48,6.02345877,Inactive
decoy_27,6.021911149,Inactive
decoy_40,6.018369809,Inactive
decoy_12,6.010122422,Inactive
decoy_32,6.009669793,Inactive
decoy_18,6.003583976,Inactive
decoy_31,5.997534249,Inactive
decoy_02,5.985689115,Inactive
decoy_07,5.984938411,Inactive
decoy_49,5.984364559,Inactive
decoy_36,5.975309783,Inactive
decoy_21,5.971266254,Inactive
decoy_22,5.970008914,Inactive
decoy_08,5.969075447,Inactive
decoy_11,5.966954083,Inactive
decoy_51,5.966883017,Inactive
decoy_01,5.966711279,Inactive
50333242,5.965974908,Active
decoy_28,5.9569418,Inactive
decoy_34,5.95458764,Inactive
