ID,Score,Real_Class
decoy_20,6.33591755,Inactive
decoy_48,6.310289291,Inactive
decoy_45,6.211387128,Inactive
decoy_37,6.203298583,Inactive
decoy_43,6.203201652,Inactive
decoy_47,6.169932315,Inactive
decoy_02,6.156926093,Inactive
decoy_40,6.153986716,Inactive
decoy_15,6.149488239,Inactive
decoy_39,6.145983906,Inactive
decoy_29,6.121779563,Inactive
decoy_52,6.117944423,Inactive
decoy_51,6.105526667,Inactive
decoy_27,6.099723579,Inactive
decoy_04,6.098106123,Inactive
decoy_33,6.092404721,Inactive
50333242,6.08394389,Active
decoy_10,6.081348711,Inactive
decoy_14,6.071849827,Inactive
decoy_19,6.069307879,Inactive
decoy_07,6.060561676,Inactive
decoy_46,6.060547936,Inactive
decoy_17,6.059767539,Inactive
decoy_22,6.057109342,Inactive
decoy_05,6.049331557,Inactive
decoy_50,6.035992042,Inactive
decoy_32,6.035030905,Inactive
decoy_21,6.034323983,Inactive
decoy_26,6.030465749,Inactive
decoy_12,6.028864836,Inactive
decoy_06,6.026478752,Inactive
decoy_38,6.020980229,Inactive
decoy_13,6.013556977,Inactive
decoy_44,6.010797925,Inactive
decoy_35,6.002930043,Inactive
decoy_11,5.995159845,Inactive
decoy_23,5.994381497,Inactive
decoy_03,5.993426819,Inactive
decoy_09,5.987613173,Inactive
decoy_16,5.985694219,Inactive
decoy_34,5.983428191,Inactive
decoy_28,5.983009098,Inactive
decoy_36,5.979572838,Inactive
decoy_24,5.979191337,Inactive
decoy_25,5.971281832,Inactive
decoy_18,5.963252039,Inactive
decoy_41,5.963213429,Inactive
decoy_01,5.960564123,Inactive
decoy_49,5.958402686,Inactive
51028037,5.958124721,Active
decoy_31,5.956862027,Inactive
decoy_42,5.956043201,Inactive
decoy_30,5.954737518,Inactive
decoy_08,5.95,Inactive
