ID,Score,Real_Class
decoy_25,0.87733,Inactive
decoy_15,0.68451,Inactive
decoy_35,0.67825,Inactive
decoy_06,0.65909,Inactive
decoy_37,0.62868,Inactive
decoy_05,0.60909,Inactive
decoy_43,0.58731,Inactive
decoy_51,0.58524,Inactive
decoy_36,0.58481,Inactive
decoy_45,0.57972,Inactive
decoy_50,0.56844,Inactive
decoy_22,0.54636,Inactive
decoy_13,0.54542,Inactive
decoy_40,0.54038,Inactive
decoy_34,0.50899,Inactive
decoy_46,0.42343,Inactive
decoy_19,0.40625,Inactive
decoy_49,0.40077,Inactive
decoy_24,0.39828,Inactive
decoy_09,0.39527,Inactive
decoy_27,0.39477,Inactive
decoy_03,0.39137,Inactive
decoy_14,0.38664,Inactive
decoy_18,0.38604,Inactive
decoy_48,0.37543,Inactive
decoy_08,0.3694,Inactive
decoy_42,0.36668,Inactive
decoy_11,0.36398,Inactive
decoy_07,0.34351,Inactive
decoy_16,0.33948,Inactive
decoy_10,0.33231,Inactive
decoy_33,0.33103,Inactive
51028037,0.32652,Active
decoy_02,0.32131,Inactive
decoy_17,0.32009,Inactive
decoy_38,0.3179,Inactive
decoy_20,0.31789,Inactive
50333242,0.29725,Active
decoy_39,0.28394,Inactive
decoy_31,0.28104,Inactive
decoy_47,0.26384,Inactive
decoy_23,0.26212,Inactive
decoy_01,0.25421,Inactive
decoy_26,0.25142,Inactive
decoy_04,0.24734,Inactive
decoy_28,0.23919,Inactive
decoy_21,0.23316,Inactive
decoy_32,0.23042,Inactive
decoy_44,0.22904,Inactive
decoy_30,0.21516,Inactive
decoy_12,0.17164,Inactive
decoy_52,0.17131,Inactive
decoy_41,0.16576,Inactive
decoy_29,0.14466,Inactive
