ID,Score,Real_Class
decoy_35,6.03363519,Inactive
decoy_15,6.023719683,Inactive
decoy_04,6.011765837,Inactive
decoy_32,6.007741264,Inactive
decoy_18,6.003566095,Inactive
decoy_20,5.996175347,Inactive
decoy_10,5.995761631,Inactive
decoy_11,5.99554429,Inactive
decoy_13,5.992146915,Inactive
decoy_26,5.990499885,Inactive
decoy_33,5.988062324,Inactive
decoy_09,5.987149355,Inactive
decoy_12,5.983991429,Inactive
decoy_07,5.982778904,Inactive
decoy_17,5.976398274,Inactive
decoy_25,5.976341415,Inactive
decoy_08,5.974661494,Inactive
decoy_21,5.972682685,Inactive
decoy_06,5.972534717,Inactive
decoy_05,5.971441201,Inactive
decoy_31,5.969705376,Inactive
decoy_37,5.969404757,Inactive
decoy_02,5.968821259,Inactive
decoy_41,5.967495746,Inactive
decoy_22,5.967168891,Inactive
50333242,5.96700206,Active
decoy_43,5.966933603,Inactive
51028037,5.963222878,Active
decoy_51,5.962888204,Inactive
decoy_23,5.962314576,Inactive
decoy_46,5.961572498,Inactive
decoy_40,5.959425158,Inactive
decoy_39,5.959101036,Inactive
decoy_16,5.95800994,Inactive
decoy_45,5.957644827,Inactive
decoy_14,5.957495876,Inactive
decoy_28,5.956698806,Inactive
decoy_47,5.956581003,Inactive
decoy_29,5.956221991,Inactive
decoy_44,5.955697026,Inactive
decoy_30,5.955597506,Inactive
decoy_36,5.955226266,Inactive
decoy_52,5.955120639,Inactive
decoy_50,5.954778793,Inactive
decoy_48,5.954618534,Inactive
decoy_49,5.953560974,Inactive
decoy_24,5.952793417,Inactive
decoy_01,5.95270206,Inactive
decoy_19,5.951971084,Inactive
decoy_42,5.951366719,Inactive
decoy_03,5.95089588,Inactive
decoy_27,5.95,Inactive
decoy_34,5.95,Inactive
decoy_38,5.941761958,Inactive
