ID,Score,Real_Class
50333242,0.61441,Active
decoy_30,0.55833,Inactive
decoy_11,0.51444,Inactive
51028037,0.5008,Active
decoy_38,0.47793,Inactive
decoy_32,0.46684,Inactive
decoy_19,0.45686,Inactive
decoy_51,0.43901,Inactive
decoy_02,0.43228,Inactive
decoy_31,0.42933,Inactive
decoy_49,0.42371,Inactive
decoy_13,0.4149,Inactive
decoy_36,0.40967,Inactive
decoy_25,0.40934,Inactive
decoy_18,0.40294,Inactive
decoy_50,0.40064,Inactive
decoy_27,0.39228,Inactive
decoy_33,0.38793,Inactive
decoy_15,0.3852,Inactive
decoy_09,0.36598,Inactive
decoy_37,0.33575,Inactive
decoy_40,0.31258,Inactive
decoy_28,0.28926,Inactive
decoy_48,0.27776,Inactive
decoy_08,0.26876,Inactive
decoy_29,0.24249,Inactive
decoy_05,0.23163,Inactive
decoy_42,0.20446,Inactive
decoy_26,0.18849,Inactive
decoy_23,0.18271,Inactive
decoy_03,0.17923,Inactive
decoy_21,0.17855,Inactive
decoy_24,0.17486,Inactive
decoy_12,0.17409,Inactive
decoy_41,0.16854,Inactive
decoy_16,0.16397,Inactive
decoy_14,0.12641,Inactive
decoy_20,0.12478,Inactive
decoy_46,0.12005,Inactive
decoy_04,0.11788,Inactive
decoy_43,0.11561,Inactive
decoy_34,0.10165,Inactive
decoy_10,0.09262,Inactive
decoy_22,0.08636,Inactive
decoy_52,0.08425,Inactive
decoy_39,0.0729,Inactive
decoy_06,0.071,Inactive
decoy_07,0.0678,Inactive
decoy_17,0.04362,Inactive
decoy_01,0.02644,Inactive
decoy_44,0.0198,Inactive
decoy_45,0.01583,Inactive
decoy_35,0.0107,Inactive
decoy_47,0.00995,Inactive
