ID,Score,Real_Class
decoy_08,6.115795874,Inactive
decoy_46,6.115148515,Inactive
decoy_22,6.098708143,Inactive
decoy_05,6.096868245,Inactive
decoy_09,6.095061845,Inactive
decoy_44,6.094747915,Inactive
decoy_43,6.093924775,Inactive
decoy_12,6.08522294,Inactive
decoy_06,6.08132721,Inactive
decoy_14,6.076310788,Inactive
decoy_11,6.072114719,Inactive
decoy_26,6.05689786,Inactive
decoy_20,6.056014667,Inactive
decoy_35,6.055436965,Inactive
decoy_13,6.054089512,Inactive
decoy_01,6.052149978,Inactive
decoy_16,6.0510498,Inactive
decoy_23,6.049310551,Inactive
decoy_07,6.039722989,Inactive
decoy_38,6.03954414,Inactive
decoy_37,6.036775977,Inactive
decoy_41,6.034186719,Inactive
decoy_03,6.032336946,Inactive
decoy_42,6.030798801,Inactive
decoy_24,6.024922665,Inactive
decoy_51,6.019136082,Inactive
decoy_04,6.018650072,Inactive
decoy_10,6.015801085,Inactive
decoy_52,6.015348624,Inactive
decoy_31,6.015318287,Inactive
decoy_47,6.010863026,Inactive
decoy_34,6.006519513,Inactive
decoy_45,6.002005817,Inactive
decoy_28,6.001715506,Inactive
decoy_17,5.996270324,Inactive
decoy_48,5.995590233,Inactive
decoy_29,5.993194792,Inactive
decoy_02,5.991961348,Inactive
decoy_36,5.986901517,Inactive
decoy_21,5.985953573,Inactive
decoy_39,5.976044641,Inactive
decoy_19,5.973615703,Inactive
decoy_33,5.97087176,Inactive
51028037,5.96782517,Active
decoy_40,5.966662203,Inactive
50333242,5.966070679,Active
decoy_18,5.965180087,Inactive
decoy_25,5.962261767,Inactive
decoy_32,5.96223178,Inactive
decoy_15,5.959554836,Inactive
decoy_50,5.957682914,Inactive
decoy_27,5.955352787,Inactive
decoy_49,5.95147594,Inactive
decoy_30,5.951011864,Inactive
