ID,Score,Real_Class
51028037,0.61514,Active
50333242,0.59013,Active
decoy_43,0.55822,Inactive
decoy_48,0.54241,Inactive
decoy_17,0.52418,Inactive
decoy_30,0.49075,Inactive
decoy_31,0.47755,Inactive
decoy_50,0.46186,Inactive
decoy_19,0.44974,Inactive
decoy_05,0.44957,Inactive
decoy_25,0.44835,Inactive
decoy_51,0.44543,Inactive
decoy_52,0.42915,Inactive
decoy_16,0.42584,Inactive
decoy_18,0.42117,Inactive
decoy_21,0.41546,Inactive
decoy_22,0.41425,Inactive
decoy_14,0.41147,Inactive
decoy_34,0.41013,Inactive
decoy_10,0.40198,Inactive
decoy_44,0.38493,Inactive
decoy_04,0.36117,Inactive
decoy_15,0.33375,Inactive
decoy_36,0.27046,Inactive
decoy_37,0.27046,Inactive
decoy_26,0.26441,Inactive
decoy_35,0.25867,Inactive
decoy_29,0.24947,Inactive
decoy_28,0.20611,Inactive
decoy_38,0.19895,Inactive
decoy_42,0.17262,Inactive
decoy_06,0.17096,Inactive
decoy_01,0.17055,Inactive
decoy_32,0.16595,Inactive
decoy_12,0.16541,Inactive
decoy_24,0.16437,Inactive
decoy_07,0.16123,Inactive
decoy_03,0.15797,Inactive
decoy_13,0.14801,Inactive
decoy_20,0.13765,Inactive
decoy_11,0.1199,Inactive
decoy_47,0.10926,Inactive
decoy_09,0.10015,Inactive
decoy_33,0.07188,Inactive
decoy_08,0.06557,Inactive
decoy_27,0.06252,Inactive
decoy_23,0.05221,Inactive
decoy_45,0.02601,Inactive
decoy_39,0.01498,Inactive
decoy_49,0.01451,Inactive
decoy_02,0.01174,Inactive
decoy_41,0.01153,Inactive
decoy_46,0.01146,Inactive
decoy_40,0.01114,Inactive
