ID,Score,Real_Class
decoy_08,6.139999614,Inactive
decoy_20,6.133522742,Inactive
decoy_12,6.11067192,Inactive
decoy_38,6.089989031,Inactive
decoy_49,6.087661228,Inactive
decoy_22,6.085825977,Inactive
decoy_41,6.081411866,Inactive
decoy_21,6.080051201,Inactive
decoy_01,6.076440789,Inactive
decoy_32,6.074510128,Inactive
decoy_07,6.062052451,Inactive
decoy_11,6.050541558,Inactive
decoy_23,6.049094186,Inactive
decoy_03,6.04362542,Inactive
decoy_45,6.042989427,Inactive
decoy_46,6.036848334,Inactive
decoy_40,6.033946142,Inactive
decoy_33,6.033619385,Inactive
decoy_24,6.033142511,Inactive
decoy_52,6.029245027,Inactive
decoy_29,6.02652999,Inactive
decoy_39,6.024497919,Inactive
decoy_51,6.016071907,Inactive
decoy_27,6.015914631,Inactive
decoy_25,6.013285756,Inactive
decoy_36,6.009419593,Inactive
decoy_37,6.009419593,Inactive
decoy_31,6.002183245,Inactive
decoy_15,6.000944352,Inactive
decoy_09,6.000883699,Inactive
decoy_26,5.997960902,Inactive
decoy_35,5.995999753,Inactive
decoy_06,5.995228025,Inactive
decoy_34,5.993886671,Inactive
decoy_42,5.993079847,Inactive
decoy_30,5.992350795,Inactive
decoy_18,5.99123543,Inactive
decoy_16,5.986132549,Inactive
decoy_17,5.984089346,Inactive
decoy_44,5.983791312,Inactive
decoy_02,5.982380506,Inactive
decoy_05,5.97999211,Inactive
decoy_10,5.978797829,Inactive
decoy_13,5.975615166,Inactive
decoy_14,5.970038712,Inactive
decoy_47,5.965676193,Inactive
decoy_04,5.964818946,Inactive
51028037,5.961727475,Active
decoy_50,5.961306784,Inactive
50333242,5.959809416,Active
decoy_19,5.958241162,Inactive
decoy_48,5.950821651,Inactive
decoy_28,5.950657354,Inactive
decoy_43,5.94851684,Inactive
