ID,Score,Real_Class,,Max_Score,Min_Score,SD
decoy_14,0.85674,Inactive,,,,
decoy_49,0.7933,Inactive,,,,
decoy_43,0.79079,Inactive,,,,
decoy_48,0.75025,Inactive,,,,
decoy_16,0.74698,Inactive,,,,
decoy_26,0.73694,Inactive,,,,
decoy_19,0.71804,Inactive,,,,
decoy_21,0.71562,Inactive,,,,
decoy_08,0.6879,Inactive,,,,
decoy_09,0.67907,Inactive,,,,
decoy_25,0.62229,Inactive,,,,
decoy_31,0.60281,Inactive,,,,
decoy_37,0.59617,Inactive,,,,
51028037,0.59247,Active,,,,
decoy_36,0.58603,Inactive,,,,
decoy_41,0.5827,Inactive,,,,
decoy_04,0.57305,Inactive,,,,
decoy_07,0.56441,Inactive,,,,
decoy_47,0.52735,Inactive,,,,
decoy_40,0.51801,Inactive,,,,
decoy_24,0.50374,Inactive,,,,
50333242,0.49178,Active,,,,
decoy_46,0.49027,Inactive,,,,
decoy_02,0.48826,Inactive,,,,
decoy_51,0.48801,Inactive,,,,
decoy_17,0.48187,Inactive,,,,
decoy_06,0.47556,Inactive,,,,
decoy_30,0.47085,Inactive,,,,
decoy_22,0.4538,Inactive,,,,
decoy_20,0.41836,Inactive,,,,
decoy_10,0.40623,Inactive,,,,
decoy_05,0.39752,Inactive,,,,
decoy_29,0.38253,Inactive,,,,
decoy_44,0.36906,Inactive,,,,
decoy_52,0.35845,Inactive,,,,
decoy_34,0.35766,Inactive,,,,
decoy_15,0.35321,Inactive,,,,
decoy_45,0.32243,Inactive,,,,
decoy_23,0.31384,Inactive,,,,
decoy_28,0.29701,Inactive,,,,
decoy_01,0.2912,Inactive,,,,
decoy_39,0.27451,Inactive,,,,
decoy_42,0.26688,Inactive,,,,
decoy_18,0.24906,Inactive,,,,
decoy_50,0.21298,Inactive,,,,
decoy_13,0.2002,Inactive,,,,
decoy_12,0.18931,Inactive,,,,
decoy_35,0.16227,Inactive,,,,
decoy_27,0.1552,Inactive,,,,
decoy_38,0.1504,Inactive,,,,
decoy_32,0.13984,Inactive,,,,
decoy_11,0.12979,Inactive,,,,
decoy_03,0.11001,Inactive,,,,
decoy_33,0.07075,Inactive,,,,
