ID,Score,Real_Class
decoy_37,6.072249698,Inactive
decoy_40,6.0434079,Inactive
decoy_51,6.034564199,Inactive
decoy_41,6.020176396,Inactive
decoy_21,6.01370682,Inactive
decoy_36,6.010482533,Inactive
decoy_10,5.999331486,Inactive
decoy_48,5.999205998,Inactive
decoy_32,5.998081693,Inactive
decoy_06,5.997688121,Inactive
decoy_34,5.996896007,Inactive
decoy_44,5.993633369,Inactive
decoy_15,5.989905028,Inactive
decoy_16,5.985129133,Inactive
decoy_46,5.984391529,Inactive
decoy_47,5.984088883,Inactive
decoy_31,5.983360817,Inactive
decoy_05,5.983328288,Inactive
50333242,5.983175973,Active
decoy_04,5.982712658,Inactive
decoy_19,5.980857281,Inactive
decoy_26,5.97946116,Inactive
decoy_27,5.978406535,Inactive
decoy_20,5.977348205,Inactive
decoy_23,5.976630038,Inactive
decoy_17,5.975930187,Inactive
decoy_02,5.974488296,Inactive
decoy_42,5.97439866,Inactive
decoy_39,5.972509608,Inactive
51028037,5.972486197,Active
decoy_12,5.972484323,Inactive
decoy_24,5.972386427,Inactive
decoy_45,5.970412744,Inactive
decoy_29,5.969879384,Inactive
decoy_07,5.969863007,Inactive
decoy_43,5.969788888,Inactive
decoy_08,5.969356484,Inactive
decoy_22,5.966762809,Inactive
decoy_09,5.965262231,Inactive
decoy_28,5.963556005,Inactive
decoy_11,5.961809914,Inactive
decoy_13,5.961567762,Inactive
decoy_49,5.960808004,Inactive
decoy_01,5.959340945,Inactive
decoy_14,5.958449877,Inactive
decoy_33,5.95758074,Inactive
decoy_18,5.957436089,Inactive
decoy_38,5.957162972,Inactive
decoy_03,5.955854858,Inactive
decoy_30,5.955547222,Inactive
decoy_35,5.952947208,Inactive
decoy_50,5.952452197,Inactive
decoy_52,5.950963618,Inactive
decoy_25,5.95,Inactive
