Smiles,IDs,IC50 Count,Kd Count,EC50 Count,pIC50 Min,pIC50 Max,pIC50 Mean,pIC50 Median,pKd Min,pKd Max,pKd Mean,pKd Median,pEC50 Min,pEC50 Max,pEC50 Mean,pEC50 Median,Phenotype,Modulator
C(=CC1CCCCC1)c1nc2ccc(-c3ccccc3)cc2[nH]1,50721228,1,0,0,6.958607315,6.958607315,6.958607315,6.958607315,,,,,,,,,Active,Antagonist
C/C(=C\c1ccccc1)C(=O)Nc1ccccc1C(=O)O,"CHEMBL4458679, 51252365, CHEMBL4458679, 51252292",4,0,0,4.568636236,4.600000075,4.58431755,4.584316945,,,,,,,,,Inactive,Antagonist
C/C=C(\C)[C@H]1C(C)=C[C@H]2C[C@@H](C)C[C@@H](C(=O)O)[C@@H]2[C@@]1(C)C(=O)CCO,"CHEMBL4550460, 51276894",2,0,0,4.732828272,4.732828272,4.732828272,4.732828272,,,,,,,,,Inactive,Antagonist
C/C=C(\C)[C@H]1C(C)=C[C@H]2C[C@@H](C)C[C@H]3C(=O)/C(=C\NCCO)C(=O)[C@]1(C)[C@H]23,"CHEMBL4533807, 51276895",2,0,0,4.210419288,4.210419288,4.210419288,4.210419288,,,,,,,,,Inactive,Antagonist
C/C=C1\OC(=O)c2ccc(OC)cc21,"51078697, 51078653",2,0,0,3.698970004,3.79209647,3.745533237,3.745533237,,,,,,,,,Inactive,Antagonist
C[C@@H](NC(=O)N1CCc2ccccc2[C@H]1c1ccc(C(F)(F)F)cc1)C(F)(F)F,"CHEMBL3235970, 50086644, 50086615",3,0,0,6.835647144,7.283996656,7.134546819,7.283996656,,,,,,,,,Active,Antagonist
C[C@H](c1cc(F)c(F)c(F)c1)N(C(=O)c1ccccc1)[C@@H](C(N)=O)c1ccccc1,"51366417, CHEMBL4764800",2,0,0,5.769551079,5.769551079,5.769551079,5.769551079,,,,,,,,,Inactive,Antagonist
C[C@H](c1cc(F)cc(Cl)c1)N(C(=O)c1ccccc1)[C@@H](C(N)=O)c1ccccc1,"50542854, CHEMBL3926952",2,0,0,6.744727495,6.744727495,6.744727495,6.744727495,,,,,,,,,Active,Antagonist
C[C@H](c1cc(F)cc(F)c1)N(C(=O)c1ccccc1)[C@@H](C(N)=O)c1ccccc1,"51366418, 50543014, CHEMBL3971179, CHEMBL3971179, 50543023",5,0,0,7.050609993,7.096910013,7.087650009,7.096910013,,,,,,,,,Active,Antagonist
C[C@H](c1cc(F)cc(F)c1)N(C(=O)c1ccccc1N)[C@@H](C(N)=O)c1ccccc1,"51366402, CHEMBL4780270",2,0,0,6.958607315,6.958607315,6.958607315,6.958607315,,,,,,,,,Active,Antagonist
